Filename,EnergyMeV,LET,numEvtIntersectingVolume,chromatinVolume,numBP,sugarPosFilename,GitHash,ClusteringGitHash
alpha_5MeV_7314.root,4.912336850709736,88.54636850984096,619,2.700000000000001e-20,296352.0,../../../../geometryFiles/sugarPos_4x4_300nm.csv,M,80aac8f
EventNo,DoseGy,PathLength_nm,MeanKEMeV,TotalSBdirect,SSBdirect,cSSBdirect,DSBdirect,TotalSBindirect,SSBindirect,cSSBindirect,DSBindirect,TotalSBtotal,SSBtotal,cSSBtotal,DSBtotal
969,150.5281372320552,321.47610852267496,4.926504038653206,1, 1, 0, 0, 14, 12, 0, 1, 15, 13, 0, 1
970,133.06100788799992,248.9492416505718,4.91021333934154,2, 2, 0, 0, 11, 11, 0, 0, 13, 13, 0, 0
971,99.60303302378706,183.2419579847838,4.923128396682793,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
972,49.45530539564079,127.40111783118614,4.9021828328762105,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
976,157.9793943246289,315.2283677504196,4.909264919627539,2, 2, 0, 0, 9, 9, 0, 0, 11, 11, 0, 0
977,20.210864218156267,44.73964784796666,4.929857726378483,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
978,30.88985664519088,60.25308458578666,4.9042928270155945,0, 0, 0, 0, 4, 2, 1, 0, 4, 2, 1, 0
981,42.65634018385609,78.44663473234925,4.921192986979525,5, 2, 0, 1, 5, 5, 0, 0, 10, 6, 0, 1
982,130.77087697970117,210.5232730089,4.928651574989209,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
984,20.58624482115234,42.015686696413,4.901066936654772,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
985,28.74923512980583,61.65207914768207,4.905614501402642,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
986,24.85606162272808,62.22237774868343,4.913353312490676,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
988,191.1811443764644,332.06945020947813,4.920951690854354,4, 1, 0, 1, 12, 10, 0, 1, 16, 10, 0, 2
989,58.25637751844969,129.9037153008078,4.914304214992856,2, 0, 1, 0, 4, 4, 0, 0, 6, 4, 1, 0
991,28.562347314774556,73.05863803002342,4.913388082928673,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
93,34.1135351355232,80.57161559766753,4.915334572405303,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95,132.4591413314097,292.3689303163879,4.935484886378991,2, 0, 1, 0, 6, 6, 0, 0, 8, 6, 1, 0
97,8.545922204599673,20.00026452866979,4.925848328251634,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
98,31.21953657764158,62.29095588492219,4.911964881905675,0, 0, 0, 0, 5, 5, 0, 0, 5, 5, 0, 0
99,173.79013447907758,390.6497053729057,4.926762416045753,4, 4, 0, 0, 12, 8, 2, 0, 16, 12, 2, 0
100,95.20771474367355,169.74456335640204,4.911818419671908,3, 3, 0, 0, 10, 10, 0, 0, 13, 11, 1, 0
101,40.854086719082055,103.8718641649222,4.90543266179002,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
103,10.113149067585223,4.47078445305289,4.929987584062889,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104,189.5648529473594,357.0756878879704,4.917602332471398,0, 0, 0, 0, 13, 13, 0, 0, 13, 13, 0, 0
105,160.8778549855841,306.0860644705133,4.921328146229623,6, 6, 0, 0, 10, 10, 0, 0, 16, 14, 0, 1
106,84.02635802918665,142.11802555002419,4.902169257400515,2, 2, 0, 0, 3, 1, 1, 0, 5, 1, 2, 0
